folioviv,num_refri,num_radio,num_tva,num_tvd,telefono,celular,num_estuf
100103702,0,0,0,1,2,1,0
100103703,0,1,0,0,2,2,0
100103704,1,0,1,2,1,1,1
100103705,1,1,0,0,2,1,1
100105902,1,0,1,2,1,1,1
100105903,1,0,0,1,2,1,1
100105904,1,0,2,1,1,1,1
100105905,1,0,1,2,2,1,0
100105906,1,0,1,0,2,1,1
100109501,1,0,0,1,1,2,1
100109503,1,1,0,4,1,1,1
100109504,2,1,1,1,2,1,1
100109506,1,0,1,0,2,2,1
100110601,2,0,0,1,1,1,2
100110602,1,1,2,1,1,1,1
100110603,1,0,0,3,1,1,1
100110604,1,0,2,2,1,2,1
100110605,1,1,2,0,2,1,1
100110606,1,0,0,2,1,1,1
100141001,1,0,3,0,1,1,1
100141002,1,0,1,0,2,1,1
100141003,1,0,0,1,1,2,1
100141004,0,1,1,1,2,1,1
100141006,1,1,0,3,1,1,1
100146201,1,0,2,0,1,2,1
100902601,1,0,0,2,1,1,1
100902603,1,1,2,1,1,1,1
100902604,1,1,1,1,1,1,1
100902605,1,0,0,1,1,1,1
100902606,1,0,0,2,1,1,1
100903001,1,0,1,0,1,1,1
100903003,1,0,0,2,1,1,0
100903005,1,0,0,0,1,2,1
100913201,1,1,0,1,1,2,1
100913203,1,2,0,3,2,1,1
100913204,1,0,1,2,1,1,1
100913205,1,0,0,1,2,1,0
100913206,1,0,2,0,1,1,1
100914302,0,0,1,0,2,1,1
100914303,1,1,1,1,1,2,1
100914304,1,0,0,2,2,1,1
100914305,1,0,1,1,1,1,1
100914306,1,0,1,0,1,2,1
100920801,1,0,1,0,2,1,1
100920802,1,0,0,1,1,1,1
100920803,1,0,0,1,2,1,1
100920806,1,0,0,2,2,1,1
100925401,1,1,0,2,2,1,1
100925402,1,0,2,0,2,1,1
100925403,1,1,0,1,1,1,1
100925404,1,1,2,2,1,1,1
100925406,1,0,2,1,1,1,1
100932702,1,0,2,1,1,1,1
100932703,1,0,1,2,1,1,1
100932704,1,0,0,1,1,1,1
100932705,1,0,2,0,1,1,1
100937901,1,0,2,1,1,1,1
100937902,1,1,0,2,2,1,1
100937903,1,1,1,2,1,1,1
100937904,1,0,2,1,2,1,1
100937905,1,0,0,3,1,1,1
100937906,1,0,1,1,1,1,1
100939502,1,0,1,1,2,1,1
100939504,1,0,0,2,1,1,1
100939505,1,0,2,1,1,1,1
100939506,1,1,0,2,1,1,1
100943601,1,0,2,1,1,1,1
100377502,1,1,0,1,2,1,1
100377504,1,0,0,2,1,1,1
100377505,0,0,0,1,2,1,0
100377506,1,0,1,0,2,2,1
100391601,0,1,1,1,1,1,1
100391602,2,1,4,2,1,1,1
100391603,1,0,0,3,1,1,1
100396001,1,0,0,1,2,2,1
100396002,1,0,1,2,1,2,1
100396003,1,0,3,1,2,1,1
100396004,1,1,1,0,2,2,1
100396005,1,0,1,2,1,1,1
100396006,1,0,0,1,1,1,1
100396006,1,0,0,2,1,2,1
100427201,1,1,0,1,2,1,1
100427202,1,2,2,2,1,1,1
100427203,1,0,1,1,1,1,1
100427204,1,1,1,1,1,1,1
100427205,1,0,2,0,2,1,1
100427206,1,0,0,2,1,1,1
100433301,1,0,2,1,1,2,1
100433302,1,0,0,1,2,1,1
100433303,1,0,1,0,1,1,1
100433304,1,1,3,0,2,1,1
100433305,1,0,2,0,2,1,1
100433306,1,1,1,2,2,1,1
100445801,1,1,2,0,2,1,1
100445802,1,0,2,0,2,1,1
100445803,1,0,1,1,2,1,1
100445804,1,0,3,1,2,1,1
100445805,1,1,3,0,2,2,1
100445806,1,0,2,1,2,1,1
100446401,0,0,1,0,2,2,1
100446402,1,1,0,3,1,1,1
100446403,1,0,2,0,2,2,1
100446405,1,1,3,0,2,1,1
100446406,1,3,3,3,2,1,1
100457701,0,0,1,0,2,1,1
100457702,1,0,0,1,2,1,1
100457705,1,0,2,0,2,1,1
100462901,1,0,1,0,2,1,1
100462903,1,0,3,0,2,1,1
100462904,1,0,2,1,2,1,1
100462905,1,0,3,2,2,1,1
100462906,1,0,3,1,1,1,1
100492501,1,0,4,1,2,1,1
100492502,1,0,0,3,1,1,1
100492504,1,0,0,2,2,1,1
100492505,1,0,3,0,1,1,1
100492506,1,0,0,2,1,1,1
100498601,1,0,2,2,1,1,1
100498602,1,0,2,0,1,1,1
100498604,1,0,3,4,1,1,1
100498605,1,0,0,6,1,1,1
100498606,1,1,0,4,2,1,1
100508002,1,0,1,2,2,1,0
100508004,1,0,0,5,1,1,1
100508005,1,0,1,0,2,1,0
100508006,1,0,0,2,2,1,1
100517201,1,0,1,0,2,1,1
100517202,1,0,1,1,2,1,1
100517203,1,0,1,1,2,1,1
100517204,1,0,1,1,2,1,1
100517205,1,0,0,1,2,1,1
100517206,1,1,0,0,2,1,0
100521301,1,0,1,3,1,1,1
100521302,1,0,0,3,2,1,1
100521303,1,0,3,0,2,1,1
100521304,1,1,1,1,2,1,1
100521305,1,0,1,1,1,1,1
100521306,1,0,0,1,2,1,1
100536801,1,0,2,2,2,1,1
100536802,1,0,2,2,2,1,1
100536803,1,0,3,0,2,1,1
100536804,1,1,3,0,1,1,1
100536805,1,0,2,0,2,1,1
100536806,1,1,0,2,2,1,1
100540401,1,0,1,0,2,1,1
100540403,1,0,1,1,2,1,1
100540404,1,1,0,1,2,1,1
100540405,1,1,2,0,1,1,1
100540406,1,0,0,3,2,1,1
100561701,1,0,0,1,2,1,1
100561702,1,0,0,2,2,1,1
100561703,1,0,0,1,2,1,1
100561704,1,1,1,0,1,2,1
100561705,0,0,1,0,2,2,1
100561706,1,0,1,1,2,1,1
100563901,1,0,1,1,2,1,1
100563902,1,1,2,1,1,1,1
100563903,1,0,1,1,2,1,1
100563904,1,0,1,1,2,1,1
100563906,1,0,3,0,2,1,1
100564501,1,0,0,2,2,1,1
100564502,1,1,1,1,2,1,2
100564503,1,0,1,1,1,1,1
100564504,1,0,2,0,2,1,1
100564505,1,0,1,0,2,1,1
100564506,1,0,1,1,2,1,1
100568601,1,1,2,3,1,1,1
100568602,1,0,0,1,1,1,1
100568603,1,0,1,1,2,1,0
100568604,1,0,0,0,2,1,1
100568605,0,0,1,0,2,1,0
100587002,1,0,2,2,1,1,1
100587003,1,0,2,1,2,1,1
100587004,1,0,1,1,1,1,1
100587005,1,0,2,1,1,1,1
100587006,1,0,0,2,1,2,1
100605201,1,1,0,2,1,1,1
100605202,1,0,0,1,1,1,0
100605203,1,0,1,1,2,1,1
100605205,1,0,2,2,1,1,1
100605206,1,0,0,1,1,1,1
100606301,1,0,0,1,1,1,1
100606302,1,0,1,1,1,1,1
100606305,1,0,0,2,2,1,1
100606306,1,0,0,3,2,1,1
100609801,1,0,0,2,1,1,1
100609802,1,0,2,0,2,1,1
100609805,1,0,0,2,1,1,1
100631401,1,0,2,0,2,1,1
100631402,1,0,0,0,2,2,1
100631403,1,1,0,1,1,1,1
100631404,1,0,0,1,1,1,1
100631405,1,0,0,2,1,1,1
100631406,1,0,2,0,2,1,1
100634702,1,1,2,0,2,1,1
100634703,1,0,0,2,2,1,1
100634704,1,0,2,0,1,1,1
100634705,1,0,0,2,2,1,1
100634705,0,0,2,0,2,1,1
100634706,1,0,2,0,2,1,1
100638901,1,1,1,1,1,1,1
100638903,0,1,0,1,2,1,0
100638903,0,0,0,0,2,2,0
100638903,0,1,1,0,2,1,0
100638903,0,0,1,0,2,1,1
100638903,0,0,1,0,2,1,0
100638904,1,0,2,0,2,1,1
100638905,1,1,0,1,1,2,1
100638906,1,0,0,2,2,1,1
100654501,1,1,0,2,1,1,1
100654502,1,1,0,1,1,1,1
100654503,1,0,0,4,2,1,1
100654504,1,1,1,1,1,2,1
100654506,1,0,0,1,2,1,1
100656601,1,0,0,1,1,1,1
100656602,1,0,1,0,2,1,1
100656603,1,0,0,1,2,1,1
100656604,1,0,2,1,2,1,1
100656605,0,0,1,0,2,1,1
100656606,1,0,1,1,1,1,1
100658001,1,0,3,0,1,2,1
100658002,1,0,0,1,2,1,1
100658004,1,2,1,1,1,1,1
100658005,1,0,1,0,2,1,1
100665202,1,1,2,2,1,1,1
100665203,1,0,0,2,1,1,1
100665204,1,0,0,3,1,1,1
100671301,1,1,1,1,1,1,1
100671302,1,2,0,4,2,1,1
100671303,1,0,1,1,2,1,1
100671304,1,0,1,0,1,2,1
100671305,1,1,0,4,1,1,1
100677801,1,1,0,3,1,1,1
100677802,1,1,0,6,1,1,1
100677803,1,0,2,0,1,2,1
100677806,1,0,0,3,1,1,0
100688401,1,1,1,0,2,1,1
100688402,1,0,1,2,1,1,1
100688403,1,0,4,0,1,1,1
100688404,1,1,1,0,1,2,1
100688405,1,1,0,1,2,1,1
100688406,1,0,1,1,2,1,1
100691701,1,1,1,1,1,1,1
100691702,1,1,2,0,1,2,1
100691703,1,0,3,0,2,1,1
100691704,1,1,2,1,2,1,1
100691705,1,0,2,1,2,1,1
100691706,1,0,2,0,2,1,1
100695902,1,0,0,2,1,1,1
100695903,1,0,1,1,2,1,1
100695904,1,1,1,0,2,2,1
100695905,0,1,2,0,2,1,1
100695906,1,0,1,2,2,1,1
100711501,1,0,2,1,2,1,1
100711502,1,0,2,0,2,1,1
100711503,1,0,0,3,1,1,1
100711504,1,0,2,2,1,1,1
100711505,1,0,0,1,2,1,1
100711506,1,0,2,1,1,1,1
100718601,1,1,1,2,1,1,1
100718602,1,0,1,0,2,1,1
100718604,1,0,1,1,2,1,1
100718605,1,0,0,1,2,1,1
100718606,1,0,2,2,1,1,1
100720001,1,0,0,2,1,1,1
100720002,1,0,0,1,1,1,1
100720003,1,0,1,0,2,1,1
100720004,1,0,0,1,2,1,1
100720005,1,1,1,2,1,1,1
100720006,1,0,2,2,2,1,1
100738202,1,0,2,1,2,1,1
100738203,1,0,1,2,2,1,1
100738204,1,1,0,1,2,2,1
100738205,1,0,0,1,2,1,0
100738206,1,1,2,2,1,1,1
100761301,0,0,1,0,1,1,0
100761301,1,4,0,2,1,2,1
100761301,1,0,1,0,1,1,1
100761302,1,1,2,2,1,1,1
100761303,1,1,0,1,2,1,1
100761304,0,0,0,1,2,1,1
100761304,1,0,1,1,2,1,1
100761304,1,0,0,1,2,1,1
100761305,1,0,1,2,2,1,1
100761306,1,0,1,1,2,1,1
100773801,1,0,2,2,1,1,1
100773802,1,0,1,1,2,1,1
100773803,1,0,1,1,2,1,1
100773804,1,0,0,1,1,2,1
100773805,0,0,1,0,2,1,0
100773805,1,0,0,3,2,1,1
100773806,1,0,1,1,2,1,1
100781401,1,0,0,1,1,1,1
100781403,1,0,0,4,1,1,1
100781404,1,0,1,1,2,1,1
100781405,1,1,1,1,1,1,1
100781406,1,0,0,2,1,1,1
100797701,1,0,2,1,2,1,1
100797702,1,0,0,3,1,1,1
100797704,1,0,6,3,1,1,1
100803901,1,0,0,2,2,1,1
100803902,1,0,2,1,1,1,1
100803903,1,0,1,0,2,1,1
100803905,1,0,0,1,1,1,1
100803906,1,2,0,1,1,2,1
100824501,1,0,3,1,2,1,1
100824502,0,1,0,0,2,2,1
100824504,1,0,3,1,2,1,1
100824505,1,1,2,1,2,1,1
100824506,1,0,0,1,1,1,1
100829601,1,0,2,0,2,1,1
100829602,1,1,1,1,1,1,1
100829603,1,0,1,2,2,1,1
100829604,2,1,1,2,1,1,1
100829605,1,0,0,1,2,1,1
100829606,1,0,0,1,1,1,1
100837001,1,1,0,2,2,1,1
100837002,1,0,1,1,2,1,1
100837003,1,0,0,0,1,1,1
100837004,1,0,0,1,2,1,1
100837005,1,1,0,1,2,1,1
100837006,1,0,0,3,2,1,1
100840201,1,0,1,0,1,1,1
100840202,1,0,1,0,2,1,1
100840203,1,0,2,3,2,1,1
100840204,0,1,0,1,2,1,0
100840204,1,0,1,1,2,1,1
100840204,0,0,0,1,2,1,0
100840204,0,0,0,1,2,1,0
100840205,1,0,2,1,1,1,1
100840206,1,1,0,2,1,1,1
100842301,1,0,2,2,1,1,1
100842302,1,0,0,2,1,1,1
100842304,1,0,4,1,2,1,1
100842305,1,0,1,1,2,1,1
100842306,1,0,1,1,1,2,1
100843801,1,0,2,0,2,1,1
100843802,1,0,1,1,2,1,1
100843803,1,0,0,3,1,1,1
100843804,1,0,0,0,2,1,1
100843805,1,0,1,1,1,1,1
100843806,1,0,0,3,2,1,1
100853401,1,0,0,1,1,1,1
100853403,1,1,2,1,1,1,1
100853404,1,0,2,2,1,1,1
100853405,1,0,0,1,2,1,1
100853406,1,0,1,1,2,2,0
100858701,1,0,1,1,1,1,1
100858702,1,0,0,1,2,1,1
100858703,1,0,1,3,1,1,1
100858704,1,0,0,2,1,1,1
100858705,1,1,0,2,2,1,1
100858706,1,0,2,0,2,1,1
100860901,1,0,0,2,1,1,1
100860903,1,1,0,2,1,1,1
100860904,1,0,1,2,1,1,1
100860906,1,1,0,1,1,1,1
100869502,1,1,2,1,1,2,1
100869503,0,0,0,1,2,1,1
100869504,1,0,0,1,2,1,1
100869506,0,0,1,0,2,1,1
101455906,1,0,0,1,2,1,1
101457501,1,0,1,0,2,1,1
101457503,1,1,3,0,1,1,1
101457504,1,0,1,0,2,1,1
101457505,1,0,3,1,1,1,1
101457506,1,1,1,0,2,1,1
101463601,1,0,0,1,2,1,1
101463602,0,1,1,1,2,1,1
101463603,1,0,1,2,2,1,1
101463604,1,0,2,1,1,1,1
101463605,1,1,0,2,1,1,1
101463606,1,0,1,2,1,2,1
101464001,1,0,1,0,2,1,1
101464002,1,0,0,1,2,1,1
101464003,0,0,0,1,2,1,1
101464003,1,0,0,2,2,1,1
101464004,1,0,1,1,1,1,1
101466201,1,1,0,2,1,1,1
101466202,1,0,1,2,1,1,1
101466204,1,0,2,0,1,2,1
101466205,1,1,0,3,1,1,1
101466206,1,0,0,1,2,1,1
101493301,1,0,0,1,1,1,1
101493302,1,0,0,1,2,1,1
101493303,1,0,0,0,2,1,0
101493305,1,0,0,1,2,1,1
101493306,1,1,2,0,2,1,1
101499801,1,1,0,1,2,1,1
101499802,1,0,1,1,1,1,1
101499804,1,0,1,1,2,1,1
101499805,1,0,1,2,2,1,1
101499806,1,0,1,2,2,1,1
101511401,0,2,2,1,2,1,1
101511404,0,0,1,0,2,1,0
101511405,1,0,1,1,2,1,1
101511406,1,1,2,0,2,1,1
101512701,1,0,1,1,2,1,1
101512702,0,1,0,0,2,1,1
101512703,0,0,2,0,2,1,1
101512704,1,0,1,0,2,1,1
101512705,1,1,2,0,2,1,1
101512706,1,0,1,1,2,2,1
100943602,1,1,1,3,2,1,1
100943603,1,0,0,1,2,1,0
100943604,1,1,2,0,2,1,1
100943605,1,1,1,1,2,1,1
100943606,1,1,0,1,2,1,1
100960001,1,1,0,3,1,1,1
100960002,1,1,1,1,2,1,1
100960003,1,1,1,1,2,1,1
100960005,2,0,1,0,2,1,1
100960006,1,1,0,1,2,1,1
100974202,1,1,0,3,2,1,1
100974203,1,0,0,2,2,1,1
100974204,1,0,1,0,2,1,1
100974205,0,0,0,1,2,1,0
100977302,1,1,1,3,1,1,1
100977303,1,1,2,0,1,1,1
100977304,1,0,1,2,1,1,0
100977305,1,0,1,2,1,1,1
100977306,2,0,1,2,1,1,1
100993801,1,0,0,2,1,1,1
100993802,1,5,2,1,1,1,1
100993803,1,0,0,3,2,1,1
100993804,1,0,1,1,1,1,1
100993805,1,1,1,2,1,1,1
100993806,1,0,1,1,1,1,1
100995402,1,0,0,3,2,1,1
100995403,1,1,0,1,1,1,1
100995404,1,1,0,1,1,2,1
100995405,1,1,1,2,1,1,2
100995406,1,1,2,0,1,1,1
100998701,1,1,1,0,2,1,1
100998702,1,0,0,2,1,1,1
100998703,1,0,0,0,2,1,1
100998704,1,0,0,1,2,1,1
100998705,0,0,1,0,2,1,1
100998706,1,1,1,1,1,1,1
101000902,1,2,2,1,2,1,1
101000903,1,0,2,1,2,1,1
101000905,1,0,0,2,2,1,1
101000906,1,0,1,1,2,1,1
101005501,1,1,2,0,1,1,1
101005502,1,1,1,0,2,1,1
101005503,1,0,0,2,2,1,1
101005504,1,0,1,3,2,1,1
101005505,1,1,1,0,2,1,1
101005506,1,1,2,0,2,1,1
101017601,1,0,2,0,1,1,1
101017602,1,0,0,0,2,1,1
101017603,1,0,1,1,2,1,1
101017605,1,0,0,1,1,1,1
101017606,1,0,0,2,1,1,1
101035001,1,0,1,2,1,2,1
101035002,1,1,2,0,2,1,1
101035003,1,0,0,1,1,2,1
101035004,1,0,1,1,1,2,1
101035005,1,0,1,1,2,1,1
101035006,1,3,1,1,1,1,1
101071201,1,0,1,1,1,1,1
101071202,1,0,1,1,2,1,1
101071204,1,0,0,1,2,2,1
101071205,1,0,1,0,1,2,1
101071206,1,0,3,0,1,1,1
101089302,1,0,1,1,2,1,1
101089303,1,0,1,0,2,1,1
101089304,1,1,1,0,2,1,1
101089305,1,1,0,3,1,1,1
101089306,1,0,3,0,1,1,1
101094801,1,1,0,0,2,1,1
101094802,1,0,1,1,2,1,1
101094803,1,0,1,0,2,1,1
101094804,1,0,0,2,1,2,1
101094805,1,2,1,2,1,1,1
101094806,1,0,1,0,2,1,1
101107401,1,0,1,0,1,1,1
101107402,1,1,1,0,1,1,1
101107402,1,0,0,1,1,1,1
101107404,1,0,2,2,1,2,1
101107405,1,0,2,0,2,1,1
101107406,1,0,1,3,1,1,1
101123701,1,0,1,3,1,1,1
101123702,1,1,2,2,1,1,1
101123703,1,1,0,3,1,1,1
101123704,1,0,1,1,1,1,1
101123705,1,0,0,3,1,1,1
101137901,0,0,1,0,2,1,1
101137903,1,0,1,1,2,1,1
101137904,1,0,0,3,1,1,1
101137905,1,0,0,2,2,1,1
101137906,1,0,3,2,2,1,1
101165501,1,1,0,1,2,1,1
101165502,1,0,0,2,1,1,1
101165503,1,0,0,2,2,1,1
101165504,1,0,1,0,2,1,1
101165505,1,1,0,0,2,1,1
101165506,1,0,1,2,1,1,1
101179601,1,0,2,1,2,1,1
101179602,1,0,1,1,2,1,1
101179603,1,0,2,1,2,1,1
101179604,1,0,0,3,2,1,1
101179605,1,0,0,1,2,1,1
101179606,1,0,1,1,2,1,1
101183001,1,0,0,3,1,1,1
101183002,1,1,0,0,2,1,1
101183004,1,0,2,1,2,1,1
101183005,1,1,2,0,1,1,1
101183006,1,0,0,1,2,1,1
101188201,1,0,1,1,2,1,1
101188202,1,0,2,1,1,1,1
101188203,1,0,1,0,2,1,1
101188204,1,0,3,1,2,1,1
101188205,1,0,1,1,1,2,1
101188206,1,0,2,0,2,1,1
101193301,1,0,2,1,2,1,1
101193302,1,0,2,1,1,1,1
101193303,1,0,1,0,2,1,1
101193304,1,0,0,1,2,1,1
101193305,1,0,2,1,2,1,1
101193306,1,0,0,3,1,1,1
101199801,1,1,1,0,2,1,1
101199802,1,1,3,0,2,1,1
101199803,1,0,1,1,2,1,1
101199805,1,0,0,2,2,1,1
101199806,1,0,0,2,1,1,1
101199806,0,0,0,1,2,2,0
101209401,1,0,1,1,1,1,1
101209403,1,0,2,0,1,2,1
101209404,1,1,0,1,1,1,1
101209405,1,0,0,1,2,1,1
101217701,1,0,1,0,1,1,1
101217704,1,0,2,0,2,1,1
101217706,1,0,0,2,2,1,1
101234901,1,1,0,1,2,1,1
101234903,1,0,2,1,1,1,1
101234904,1,0,0,2,1,1,1
101234905,1,0,1,2,2,1,1
101234906,1,0,2,0,1,1,1
101241501,0,0,1,1,2,1,1
101241502,0,0,0,3,1,2,1
101241503,1,0,0,1,2,1,1
101241504,1,1,1,1,2,1,1
101241505,1,0,2,1,2,1,1
101241506,1,1,2,0,2,1,1
101267601,1,1,1,2,1,1,1
101267602,1,1,2,2,1,1,1
101267603,1,0,1,0,2,1,1
101267604,1,0,3,1,2,1,1
101267605,1,0,1,0,2,1,1
101267606,1,0,0,2,1,1,1
101276001,1,0,0,1,2,1,1
101276002,1,0,1,1,1,1,1
101276004,1,0,0,1,2,1,1
101276005,1,1,0,1,2,1,1
101276005,0,0,1,0,2,2,0
101276005,0,0,0,0,2,2,0
101276006,1,0,2,1,2,1,1
101283201,1,0,1,1,2,1,1
101283202,1,1,1,1,2,1,1
101283203,1,0,1,0,2,1,1
101283204,1,1,2,0,2,1,1
101283205,1,0,0,1,2,1,1
101283206,1,0,0,3,1,1,1
101284301,0,0,1,1,2,1,1
101284302,1,0,1,0,2,1,1
101284303,1,0,1,0,1,1,1
101284304,1,1,2,0,1,1,1
101284305,1,0,0,3,1,2,1
101284306,1,0,1,1,2,1,1
101286801,1,1,1,2,1,1,1
101286802,1,0,0,2,2,1,1
101286803,1,1,2,0,1,1,1
101286804,1,0,2,2,2,1,1
101286805,1,0,2,0,2,1,1
101286806,0,1,3,0,1,1,1
101289401,1,1,1,0,2,1,1
101289401,0,0,1,0,2,1,0
101289402,1,0,5,0,1,1,1
101289403,1,0,1,1,2,1,1
101289404,1,1,2,0,2,1,1
101289405,1,2,1,0,2,1,1
101289406,1,0,0,1,2,1,1
101293701,1,0,1,1,2,1,1
101293702,1,0,0,2,2,1,1
101293703,1,0,0,1,2,1,1
101293704,1,2,0,3,1,1,1
101293705,0,0,0,0,2,1,0
