folioviv,combustible,disp_elect,estufa_chi,,,#NAME?
100277405,3,1, ,,,
100277406,3,1, ,,,
100282701,3,1, ,,,
100282702,3,1, ,,,
100282703,3,1, ,,,
100282704,3,1, ,,,
100282705,3,1, ,,,
100282706,3,1, ,,,
100284902,3,1, ,,,
100284904,3,1, ,,,
100284905,3,1, ,,,
100284906,4,1, ,,,
100298502,4,1, ,,,
100298504,3,1, ,,,
100298506,3,1, ,,,
100318603,3,1, ,,,
100318605,3,1, ,,,
100321002,3,1, ,,,
100321003,3,1, ,,,
100321004,3,1, ,,,
100321006,3,1, ,,,
100322201,3,1, ,,,
100322202,3,1, ,,,
100322204,3,1, ,,,
100322205,3,1, ,,,
100322206,3,1, ,,,
100326301,3,1, ,,,
100326302,3,1, ,,,
100326303,3,1, ,,,
100326304,3,1, ,,,
100326306,3,1, ,,,
100328801,3,1, ,,,
100328802,3,1, ,,,
100328803,3,1, ,,,
100328804,3,1, ,,,
100328805,3,1, ,,,
100328806,4,1, ,,,
100344402,3,1, ,,,
100344403,3,1, ,,,
100344404,3,1, ,,,
100344405,3,1, ,,,
100360701,3,1, ,,,
100360703,3,1, ,,,
100360704,3,1, ,,,
100360705,3,1, ,,,
100360706,3,1, ,,,
100363901,4,1, ,,,
100363902,3,1, ,,,
100363903,3,1, ,,,
100363905,4,1, ,,,
100363906,3,1, ,,,
100377501,4,1, ,,,
100377502,3,1, ,,,
100377504,4,1, ,,,
100377505,3,1, ,,,
100377506,4,1, ,,,
100391601,3,1, ,,,
100391602,3,1, ,,,
100391603,3,1, ,,,
100396001,4,1, ,,,
100396002,3,1, ,,,
100396003,4,1, ,,,
100396004,3,1, ,,,
100396005,3,1, ,,,
100396006,4,1, ,,,
100427201,3,1, ,,,
100427202,3,1, ,,,
100427203,3,1, ,,,
100427204,3,1, ,,,
100427205,4,1, ,,,
100427206,4,1, ,,,
100433301,4,1, ,,,
100433302,4,1, ,,,
100433303,3,1, ,,,
100433304,4,1, ,,,
100433305,4,1, ,,,
100433306,3,1, ,,,
100445801,4,1, ,,,
100445802,3,1, ,,,
100445803,4,1, ,,,
100445804,3,1, ,,,
100445805,4,1, ,,,
100445806,4,1, ,,,
100446401,3,1, ,,,
100446402,4,1, ,,,
100446403,4,1, ,,,
100446405,4,1, ,,,
100446406,4,1, ,,,
100457701,3,1, ,,,
100457702,4,1, ,,,
100457705,4,1, ,,,
100462901,4,1, ,,,
100462903,3,1, ,,,
100462904,3,1, ,,,
100462905,3,1, ,,,
100462906,3,1, ,,,
100492501,3,1, ,,,
100492502,3,1, ,,,
100492504,3,1, ,,,
100492505,3,1, ,,,
100492506,3,1, ,,,
100498601,4,1, ,,,
100498602,3,1, ,,,
100498604,4,1, ,,,
100498605,3,1, ,,,
100498606,4,1, ,,,
100508002,4,1, ,,,
100508004,3,1, ,,,
100508005,3,1, ,,,
100508006,3,1, ,,,
100517201,3,1, ,,,
100517202,3,1, ,,,
100517203,3,1, ,,,
100517204,3,1, ,,,
100517205,3,1, ,,,
100517206,3,1, ,,,
100521301,4,1, ,,,
100521302,3,1, ,,,
100521303,4,1, ,,,
100521304,3,1, ,,,
100521305,3,1, ,,,
100521306,3,1, ,,,
100536801,3,1, ,,,
100536802,3,1, ,,,
100536803,3,1, ,,,
100536804,3,1, ,,,
100536805,3,1, ,,,
100536806,3,1, ,,,
100540401,3,1, ,,,
100540403,3,1, ,,,
100540404,3,1, ,,,
100540405,3,1, ,,,
100540406,3,1, ,,,
100561701,3,1, ,,,
100561702,3,1, ,,,
100561703,4,1, ,,,
100561704,3,1, ,,,
100561705,5,1, ,,,
100561706,3,1, ,,,
100563901,4,1, ,,,
100563902,3,1, ,,,
100563903,3,1, ,,,
100563904,4,1, ,,,
100563906,4,1, ,,,
100564501,4,1, ,,,
100564502,3,1, ,,,
100564503,4,1, ,,,
100564504,4,1, ,,,
100564505,3,1, ,,,
100564506,4,1, ,,,
100568601,4,1, ,,,
100568602,4,1, ,,,
100568603,3,1, ,,,
100568604,3,1, ,,,
100568605,4,1, ,,,
100587002,3,1, ,,,
100587003,3,1, ,,,
100587004,3,1, ,,,
100587005,3,1, ,,,
100587006,3,1, ,,,
100605201,3,1, ,,,
100605202,3,1, ,,,
100605203,4,1, ,,,
100605205,4,1, ,,,
100605206,3,1, ,,,
100606301,3,1, ,,,
100606302,3,1, ,,,
100606305,4,1, ,,,
100606306,3,1, ,,,
100609801,4,1, ,,,
100609802,3,1, ,,,
100609805,3,1, ,,,
100631401,3,1, ,,,
100631402,5,1, ,,,
100631403,3,1, ,,,
100631404,3,1, ,,,
100631405,3,1, ,,,
100631406,3,1, ,,,
100634702,3,1, ,,,
100634703,3,1, ,,,
100634704,3,1, ,,,
100634705,3,1, ,,,
100634706,3,1, ,,,
100638901,3,1, ,,,
100638903,3,1, ,,,
100638904,3,1, ,,,
100638905,3,1, ,,,
100638906,3,1, ,,,
100654501,3,1, ,,,
100654502,3,1, ,,,
100654503,4,1, ,,,
100654504,3,1, ,,,
100654506,3,1, ,,,
100656601,3,1, ,,,
100656602,4,1, ,,,
100656603,3,1, ,,,
100656604,3,1, ,,,
100656605,3,1, ,,,
100656606,3,1, ,,,
100658001,3,1, ,,,
100658002,4,1, ,,,
100658004,3,1, ,,,
100658005,4,1, ,,,
100665202,3,1, ,,,
100665203,4,1, ,,,
100665204,4,1, ,,,
100671301,3,1, ,,,
100671302,3,1, ,,,
100671303,4,1, ,,,
100671304,4,1, ,,,
100671305,4,1, ,,,
100677801,4,1, ,,,
100677802,3,1, ,,,
100677803,4,1, ,,,
100677806,4,1, ,,,
100688401,3,1, ,,,
100688402,3,1, ,,,
100688403,3,1, ,,,
100688404,3,1, ,,,
100688405,4,1, ,,,
100688406,3,1, ,,,
100691701,3,1, ,,,
100691702,3,1, ,,,
100691703,3,1, ,,,
100691704,3,1, ,,,
100691705,3,1, ,,,
100691706,3,1, ,,,
100695902,4,1, ,,,
100695903,3,1, ,,,
100695904,3,1, ,,,
100695905,4,1, ,,,
100695906,3,1, ,,,
100711501,3,1, ,,,
100711502,3,1, ,,,
100711503,3,1, ,,,
100711504,3,1, ,,,
100711505,3,1, ,,,
100711506,3,1, ,,,
100718601,3,1, ,,,
100718602,3,1, ,,,
100718604,3,1, ,,,
100718605,3,1, ,,,
100718606,3,1, ,,,
100720001,3,1, ,,,
100720002,3,1, ,,,
100720003,3,1, ,,,
100720004,3,1, ,,,
100720005,3,1, ,,,
100720006,3,1, ,,,
100738202,3,1, ,,,
100738203,3,1, ,,,
100738204,3,1, ,,,
100738205,3,1, ,,,
100738206,3,1, ,,,
100761301,4,1, ,,,
100761302,3,1, ,,,
100761303,4,1, ,,,
100761304,3,1, ,,,
100761305,3,1, ,,,
100761306,3,1, ,,,
100773801,3,1, ,,,
100773802,3,1, ,,,
100773803,3,1, ,,,
100773804,3,1, ,,,
100773805,3,1, ,,,
100773806,3,1, ,,,
100781401,4,1, ,,,
100781403,4,1, ,,,
100781404,3,1, ,,,
100781405,4,1, ,,,
100781406,4,1, ,,,
100797701,3,1, ,,,
100797702,3,1, ,,,
100797704,3,1, ,,,
100803901,3,1, ,,,
100803902,3,1, ,,,
100803903,3,1, ,,,
100803905,3,1, ,,,
100803906,3,1, ,,,
100824501,3,1, ,,,
100824502,3,1, ,,,
100824504,3,1, ,,,
100824505,3,1, ,,,
100824506,3,1, ,,,
100829601,3,1, ,,,
100829602,3,1, ,,,
100829603,3,1, ,,,
100829604,3,1, ,,,
100829605,3,1, ,,,
100829606,3,1, ,,,
100837001,3,1, ,,,
100837002,3,1, ,,,
100837003,3,1, ,,,
100837004,3,1, ,,,
100837005,3,1, ,,,
100837006,3,1, ,,,
100840201,3,1, ,,,
100840202,3,1, ,,,
100840203,4,1, ,,,
100840204,3,1, ,,,
100840205,3,1, ,,,
100840206,3,1, ,,,
100842301,3,1, ,,,
100842302,3,1, ,,,
100842304,3,1, ,,,
100842305,3,1, ,,,
100842306,3,1, ,,,
100843801,3,1, ,,,
100843802,3,1, ,,,
100843803,3,1, ,,,
100843804,3,1, ,,,
100843805,3,1, ,,,
100843806,3,1, ,,,
100853401,3,1, ,,,
100853403,3,1, ,,,
100853404,3,1, ,,,
100853405,3,1, ,,,
100853406,3,1, ,,,
100858701,3,1, ,,,
100858702,3,1, ,,,
100858703,3,1, ,,,
100858704,3,1, ,,,
100858705,3,1, ,,,
100858706,3,1, ,,,
100860901,3,1, ,,,
100860903,4,1, ,,,
100860904,3,1, ,,,
100860906,3,1, ,,,
100869502,3,1, ,,,
100869503,6,1, ,,,
100869504,3,1, ,,,
100869506,3,1, ,,,
100902601,3,1, ,,,
100902603,4,1, ,,,
100902604,3,1, ,,,
100902605,3,1, ,,,
100902606,3,1, ,,,
100903001,4,1, ,,,
100903003,4,1, ,,,
100903005,3,1, ,,,
100913201,3,1, ,,,
100913203,3,1, ,,,
100913204,3,1, ,,,
100913205,3,1, ,,,
100913206,3,1, ,,,
100914302,3,1, ,,,
100914303,3,1, ,,,
100914304,3,1, ,,,
100914305,3,1, ,,,
100914306,3,1, ,,,
100920801,3,1, ,,,
100920802,3,1, ,,,
100920803,3,1, ,,,
100920806,3,1, ,,,
100925401,3,1, ,,,
100925402,3,1, ,,,
100925403,3,1, ,,,
100925404,3,1, ,,,
100925406,3,1, ,,,
100932702,3,1, ,,,
100932703,3,1, ,,,
100932704,3,1, ,,,
100932705,4,1, ,,,
100937901,3,1, ,,,
100937902,3,1, ,,,
100937903,3,1, ,,,
100937904,3,1, ,,,
100937905,3,1, ,,,
100937906,3,1, ,,,
100939502,3,1, ,,,
100939504,3,1, ,,,
100939505,3,1, ,,,
100939506,3,1, ,,,
100943601,3,1, ,,,
100943602,3,1, ,,,
100943603,3,1, ,,,
100943604,4,1, ,,,
100943605,4,1, ,,,
100943606,3,1, ,,,
100960001,4,1, ,,,
100960002,3,1, ,,,
100960003,4,1, ,,,
100960005,3,1, ,,,
100960006,4,1, ,,,
100974202,3,1, ,,,
100974203,3,1, ,,,
100974204,3,1, ,,,
100974205,3,1, ,,,
100977302,3,1, ,,,
100977303,3,1, ,,,
100977304,3,1, ,,,
100977305,3,1, ,,,
100977306,3,1, ,,,
100993801,3,1, ,,,
100993802,3,1, ,,,
100993803,3,1, ,,,
100993804,3,1, ,,,
100993805,3,1, ,,,
100993806,3,1, ,,,
100995402,3,1, ,,,
100995403,3,1, ,,,
100995404,3,1, ,,,
100995405,3,1, ,,,
100995406,4,1, ,,,
100998701,3,1, ,,,
100998702,3,1, ,,,
100998703,3,1, ,,,
100998704,3,1, ,,,
100998705,3,1, ,,,
100998706,3,1, ,,,
101000902,3,1, ,,,
101000903,3,1, ,,,
101000905,3,1, ,,,
101000906,3,1, ,,,
101005501,3,1, ,,,
101005502,3,1, ,,,
101005503,3,1, ,,,
101005504,3,1, ,,,
101005505,3,1, ,,,
101005506,3,1, ,,,
101017601,3,1, ,,,
101017602,3,1, ,,,
101017603,3,1, ,,,
101017605,3,1, ,,,
101017606,3,1, ,,,
101035001,3,1, ,,,
101035002,3,1, ,,,
101035003,3,1, ,,,
101035004,3,1, ,,,
101035005,3,1, ,,,
101035006,3,1, ,,,
101071201,3,1, ,,,
101071202,3,1, ,,,
101071204,3,1, ,,,
101071205,3,1, ,,,
101071206,3,1, ,,,
101089302,3,1, ,,,
101089303,3,1, ,,,
101089304,3,1, ,,,
101089305,3,1, ,,,
101089306,3,1, ,,,
101094801,3,1, ,,,
101094802,3,1, ,,,
101094803,3,1, ,,,
101094804,3,1, ,,,
101094805,3,1, ,,,
101094806,3,1, ,,,
101107401,3,1, ,,,
101107402,3,1, ,,,
101107404,3,1, ,,,
101107405,3,1, ,,,
101107406,4,1, ,,,
101123701,3,1, ,,,
101123702,3,1, ,,,
101123703,3,1, ,,,
101123704,3,1, ,,,
101123705,3,1, ,,,
101137901,3,1, ,,,
101137903,3,1, ,,,
101137904,3,1, ,,,
101137905,3,1, ,,,
101137906,3,1, ,,,
101165501,3,1, ,,,
101165502,3,1, ,,,
101165503,4,1, ,,,
101165504,3,1, ,,,
101165505,3,1, ,,,
101165506,3,1, ,,,
101179601,3,1, ,,,
101179602,3,1, ,,,
101179603,3,1, ,,,
101179604,3,1, ,,,
101179605,3,1, ,,,
101179606,3,1, ,,,
101183001,3,1, ,,,
101183002,3,1, ,,,
101183004,3,1, ,,,
101183005,3,1, ,,,
101183006,3,1, ,,,
101188201,3,1, ,,,
101188202,3,1, ,,,
101188203,3,1, ,,,
101188204,3,1, ,,,
101188205,3,1, ,,,
101188206,3,1, ,,,
101193301,3,1, ,,,
101193302,3,1, ,,,
101193303,3,1, ,,,
101193304,3,1, ,,,
101193305,3,1, ,,,
101193306,3,1, ,,,
101199801,3,1, ,,,
101199802,4,1, ,,,
101199803,3,1, ,,,
101199805,4,1, ,,,
101199806,4,1, ,,,
101209401,3,1, ,,,
101209403,3,1, ,,,
101209404,3,1, ,,,
101209405,4,1, ,,,
101217701,3,1, ,,,
101217704,3,1, ,,,
101217706,3,1, ,,,
101234901,3,1, ,,,
101234903,3,1, ,,,
101234904,3,1, ,,,
101234905,3,1, ,,,
101234906,4,1, ,,,
101241501,3,1, ,,,
101241502,3,1, ,,,
101241503,3,1, ,,,
101241504,3,1, ,,,
101241505,3,1, ,,,
101241506,3,1, ,,,
101267601,3,1, ,,,
101267602,3,1, ,,,
101267603,3,1, ,,,
101267604,3,1, ,,,
101267605,3,1, ,,,
101267606,3,1, ,,,
101276001,3,1, ,,,
101276002,3,1, ,,,
101276004,3,1, ,,,
101276005,3,1, ,,,
101276006,3,1, ,,,
101283201,3,1, ,,,
101283202,3,1, ,,,
101283203,3,1, ,,,
101283204,3,1, ,,,
101283205,3,1, ,,,
101283206,3,1, ,,,
101284301,3,1, ,,,
101284302,3,1, ,,,
101284303,3,1, ,,,
101284304,3,1, ,,,
101284305,3,1, ,,,
101284306,3,1, ,,,
101286801,3,1, ,,,
101286802,3,1, ,,,
101286803,3,1, ,,,
101286804,3,1, ,,,
101286805,3,1, ,,,
101286806,3,1, ,,,
101289401,3,1, ,,,
101289402,3,1, ,,,
101289403,3,1, ,,,
101289404,3,1, ,,,
101289405,3,1, ,,,
101289406,3,1, ,,,
101293701,3,1, ,,,
101293702,3,1, ,,,
101293703,3,1, ,,,
101293704,3,1, ,,,
101293705,3,1, ,,,
101296901,3,1, ,,,
101296902,3,1, ,,,
101296903,3,1, ,,,
101296904,3,1, ,,,
101296905,3,1, ,,,
101298501,5,1, ,,,
101298502,3,1, ,,,
101298503,3,1, ,,,
101298504,3,1, ,,,
101298505,3,1, ,,,
101298506,3,1, ,,,
101304601,3,1, ,,,
101304602,3,1, ,,,
101304604,3,1, ,,,
101304605,4,1, ,,,
101304606,3,1, ,,,
101310001,3,1, ,,,
101310002,4,1, ,,,
101310003,4,1, ,,,
101310005,3,1, ,,,
101312201,3,1, ,,,
101312202,4,1, ,,,
101312203,3,1, ,,,
101312204,3,1, ,,,
101312205,3,1, ,,,
101312206,4,1, ,,,
101315301,3,1, ,,,
101315302,4,1, ,,,
101315303,3,1, ,,,
101315304,3,1, ,,,
101315305,3,1, ,,,
101315306,3,1, ,,,
101318801,4,1, ,,,
101318802,3,1, ,,,
101318803,4,1, ,,,
101318804,4,1, ,,,
101318805,4,1, ,,,
101318806,3,1, ,,,
101327401,3,1, ,,,
101327402,3,1, ,,,
101327403,3,1, ,,,
101327404,3,1, ,,,
101327405,3,1, ,,,
101327406,3,1, ,,,
101337701,3,1, ,,,
101337702,3,1, ,,,
101337703,3,1, ,,,
101337704,3,1, ,,,
101337705,3,1, ,,,
101337706,3,1, ,,,
101352901,3,1, ,,,
101352902,3,1, ,,,
101352903,3,1, ,,,
101352904,3,1, ,,,
101352905,3,1, ,,,
101352906,3,1, ,,,
101355501,3,1, ,,,
101355502,3,1, ,,,
101355503,3,1, ,,,
101355504,5,1, ,,,
101355505,3,1, ,,,
101372601,3,1, ,,,
101372602,3,1, ,,,
101372603,3,1, ,,,
101372604,3,1, ,,,
101372605,3,1, ,,,
101372606,3,1, ,,,
101383001,3,1, ,,,
101383002,3,1, ,,,
101383003,3,1, ,,,
101383004,3,1, ,,,
101383005,3,1, ,,,
101383006,3,1, ,,,
101394201,3,1, ,,,
101394202,3,1, ,,,
101394203,3,1, ,,,
101394204,3,1, ,,,
101394205,3,1, ,,,
101394206,3,1, ,,,
101395301,3,1, ,,,
101395302,3,1, ,,,
101395303,3,1, ,,,
101395306,3,1, ,,,
101399801,3,1, ,,,
101399802,3,1, ,,,
101399803,3,1, ,,,
101399804,3,1, ,,,
101399805,3,1, ,,,
101399806,3,1, ,,,
101404401,3,1, ,,,
101404402,3,1, ,,,
101404403,3,1, ,,,
101404404,3,1, ,,,
101404405,6,1, ,,,
101404406,3,1, ,,,
101408701,3,4, ,,,
101408702,3,1, ,,,
101408703,3,1, ,,,
101408704,3,1, ,,,
101408705,3,1, ,,,
101408706,4,1, ,,,
101455901,3,1, ,,,
101455902,3,1, ,,,
101455903,3,1, ,,,
101455904,3,1, ,,,
101455905,3,1, ,,,
101455906,3,1, ,,,
101457501,3,1, ,,,
101457503,3,1, ,,,
101457504,3,1, ,,,
101457505,3,1, ,,,
101457506,3,1, ,,,
101463601,3,1, ,,,
101463602,3,1, ,,,
101463603,3,1, ,,,
101463604,3,1, ,,,
101463605,3,1, ,,,
101463606,3,1, ,,,
101464001,3,1, ,,,
101464002,3,1, ,,,
101464003,3,1, ,,,
101464004,3,1, ,,,
101466201,3,1, ,,,
101466202,3,1, ,,,
101466204,3,1, ,,,
101466205,3,1, ,,,
101466206,3,1, ,,,
101493301,3,1, ,,,
101493302,3,1, ,,,
101493303,3,1, ,,,
101493305,3,1, ,,,
101493306,3,1, ,,,
101499801,3,1, ,,,
101499802,3,1, ,,,
101499804,3,1, ,,,
101499805,3,1, ,,,
101499806,3,1, ,,,
101511401,3,1, ,,,
101511404,5,1, ,,,
101511405,3,1, ,,,
101511406,3,1, ,,,
101512701,3,1, ,,,
101512702,3,1, ,,,
101512703,3,1, ,,,
101512704,3,1, ,,,
101512705,3,1, ,,,
101512706,3,1, ,,,
101548901,3,1, ,,,
101548902,3,1, ,,,
101548903,3,1, ,,,
101548904,3,1, ,,,
101555501,3,1, ,,,
101555502,3,1, ,,,
101555503,3,1, ,,,
101555504,3,1, ,,,
101555505,3,1, ,,,
101555506,3,1, ,,,
101556601,4,1, ,,,
101556603,3,1, ,,,
101556604,3,1, ,,,
101556605,3,1, ,,,
101556606,3,1, ,,,
101565001,3,1, ,,,
101565002,3,1, ,,,
101565003,3,1, ,,,
101577201,3,1, ,,,
101577202,3,1, ,,,
101577203,3,1, ,,,
101577204,3,1, ,,,
101577206,3,1, ,,,
101596301,3,1, ,,,
101596302,3,1, ,,,
101596303,3,1, ,,,
101596304,3,1, ,,,
101596305,3,1, ,,,
101596306,3,1, ,,,
101598802,3,1, ,,,
101598803,3,1, ,,,
101598805,3,1, ,,,
101600402,3,1, ,,,
101600403,3,1, ,,,
101600404,3,1, ,,,
101600405,3,1, ,,,
101600406,3,1, ,,,
101605701,3,1, ,,,
101605702,3,1, ,,,
101605704,3,1, ,,,
101605705,3,1, ,,,
101605706,3,1, ,,,
101606901,3,1, ,,,
101606902,3,1, ,,,
101606903,3,1, ,,,
101606904,4,1, ,,,
101606905,3,1, ,,,
101608501,3,1, ,,,
101608503,3,1, ,,,
101608504,3,1, ,,,
101608505,3,1, ,,,
101608506,3,1, ,,,
101609601,3,1, ,,,
101609602,3,1, ,,,
101609604,3,1, ,,,
101609605,3,1, ,,,
101609606,3,1, ,,,
101618001,3,1, ,,,
101618003,3,1, ,,,
101618004,3,1, ,,,
101618005,3,1, ,,,
101618006,3,1, ,,,
101620201,3,1, ,,,
101620202,3,1, ,,,
101620203,3,1, ,,,
101620205,3,1, ,,,
101620206,3,1, ,,,
101623301,5,1, ,,,
101623302,3,1, ,,,
101623303,3,1, ,,,
101623304,3,1, ,,,
101626801,3,1, ,,,
101626802,3,1, ,,,
101626803,3,1, ,,,
101626804,3,1, ,,,
101626805,3,1, ,,,
101626806,3,1, ,,,
101636401,3,1, ,,,
101636402,3,1, ,,,
101636403,3,1, ,,,
101636404,3,1, ,,,
101636405,3,1, ,,,
101636406,3,1, ,,,
101646701,3,1, ,,,
101646702,3,1, ,,,
101646703,3,1, ,,,
101646704,3,1, ,,,
101646706,3,1, ,,,
101660901,3,1, ,,,
101660902,3,1, ,,,
101660903,3,1, ,,,
101660904,3,1, ,,,
101660905,3,1, ,,,
101660906,3,1, ,,,
101676501,3,1, ,,,
101676502,3,1, ,,,
101676503,3,1, ,,,
101676504,5,1, ,,,
101676505,3,1, ,,,
101676506,3,1, ,,,
101683601,3,1, ,,,
101683602,3,1, ,,,
101683603,3,1, ,,,
101683606,3,1, ,,,
101696001,3,1, ,,,
101696002,3,1, ,,,
101696003,3,1, ,,,
101696005,3,1, ,,,
101696006,3,1, ,,,
101702202,3,1, ,,,
101702203,3,1, ,,,
101702204,3,1, ,,,
101702205,3,1, ,,,
101702206,6,1, ,,,
101707301,3,1, ,,,
101707302,3,1, ,,,
101707303,3,1, ,,,
101707306,3,1, ,,,
101713802,3,1, ,,,
101713804,3,1, ,,,
101713805,3,1, ,,,
101713806,3,1, ,,,
101727403,3,1, ,,,
101727404,3,1, ,,,
101727405,3,1, ,,,
101727406,3,1, ,,,
101729703,3,1, ,,,
101729704,3,1, ,,,
101729705,3,1, ,,,
101729706,3,1, ,,,
101737901,3,1, ,,,
101737903,3,1, ,,,
101737904,3,1, ,,,
101737905,3,1, ,,,
101742501,3,1, ,,,
101742502,3,1, ,,,
101742505,3,1, ,,,
101742506,3,1, ,,,
101771601,3,1, ,,,
101771602,3,1, ,,,
101771604,3,1, ,,,
101771605,3,1, ,,,
101771606,3,1, ,,,
101772002,3,1, ,,,
101772003,3,1, ,,,
101772004,3,1, ,,,
101772005,3,1, ,,,
101772006,3,1, ,,,
101801201,3,1, ,,,
101801202,3,1, ,,,
101801203,3,1, ,,,
101801204,3,1, ,,,
101801206,3,1, ,,,
101828301,3,1, ,,,
101828302,3,1, ,,,
101828303,3,1, ,,,
101828304,3,1, ,,,
101828305,3,1, ,,,
101839801,3,1, ,,,
101839802,3,1, ,,,
101839803,3,1, ,,,
101839804,3,1, ,,,
101839805,3,1, ,,,
101839806,3,1, ,,,
101844402,3,1, ,,,
101844405,3,1, ,,,
101844406,3,1, ,,,
101851701,3,1, ,,,
101851702,3,1, ,,,
101851703,4,1, ,,,
101851704,3,1, ,,,
101851705,3,1, ,,,
101851706,3,1, ,,,
101854901,3,1, ,,,
101854902,3,1, ,,,
101854904,3,1, ,,,
101854905,3,1, ,,,
101854906,3,1, ,,,
101856501,3,1, ,,,
101856502,3,1, ,,,
101856504,3,1, ,,,
101856506,4,1, ,,,
101859601,3,1, ,,,
101859602,3,1, ,,,
101859603,3,1, ,,,
101859604,3,1, ,,,
101859605,3,1, ,,,
101859606,3,1, ,,,
101866001,3,1, ,,,
101866002,3,1, ,,,
101866003,3,1, ,,,
101866004,3,1, ,,,
101866005,3,1, ,,,
101871201,3,1, ,,,
101871202,3,1, ,,,
101871203,3,1, ,,,
101871204,3,1, ,,,
101871205,3,1, ,,,
101891301,3,1, ,,,
101891302,3,1, ,,,
101891303,3,1, ,,,
101891304,3,1, ,,,
101891305,3,1, ,,,
101891306,3,1, ,,,
101897802,3,1, ,,,
101897803,3,1, ,,,
101897804,3,1, ,,,
101897805,3,1, ,,,
101899401,3,1, ,,,
101899402,3,1, ,,,
101899403,3,1, ,,,
101899404,3,1, ,,,
101899405,3,1, ,,,
101899406,3,1, ,,,
101901701,3,1, ,,,
101901702,3,1, ,,,
101901703,3,1, ,,,
101901704,3,1, ,,,
101901705,3,1, ,,,
101901706,3,1, ,,,
